model,ssp,period,bd_mean_annual_precip_mm,delta_P_pct
EC-Earth3-Veg,ssp245,2041-2060,2071.9365342163355,12.298331087511452
EC-Earth3-Veg,ssp585,2041-2060,2072.8044150110377,18.53546647291742
GFDL-ESM4,ssp585,2041-2060,1969.3472406181015,17.610329989486676
IPSL-CM6A-LR,ssp245,2041-2060,1947.428421633554,11.559292045370444
IPSL-CM6A-LR,ssp585,2041-2060,1965.175055187638,17.57302140281776
MIROC6,ssp245,2041-2060,2047.5204194260486,12.153405092625604
MIROC6,ssp585,2041-2060,2090.7689293598232,18.6961090550167
MPI-ESM1-2-HR,ssp245,2041-2060,2123.540728476821,12.604636544285373
MPI-ESM1-2-HR,ssp585,2041-2060,2072.6345474613686,18.533947480460185
MRI-ESM2-0,ssp245,2041-2060,1917.9529249448124,11.384335230207135
MRI-ESM2-0,ssp585,2041-2060,1906.8119205298012,17.051125599301276
